İsim,Adres,Telefon,E-posta
Plavci,,,
Osmanlı Kebapçısı,,,
Nola,,,
Lezzette Son Nokta,,,
Galata House Restaurant,Galata Kulesi Sokağı,,
Midpoint,,,
Refik,,,
Sahrap,,,
Pera Public,,,
Sultan Kebap,Kocatepe Mahallesi,,
Kabataş Köftecisi Mehmet,,,
Sultanbeyli Balıkçısı,,+902164987198,
Dubb Indian Bosphorus Restaurant,Cumhuriyet Caddesi,+90 212 343 80 81,book@dubbindian.com
boga,imrahor 19,02122951150,
Hira Ev Yemekleri,Katip Salih Sokağı,,
Meat & Meet,Silahşör Caddesi,0212 234-24-34,
,Kuyumcu İrfan Sokak,,
,Şakayık Sokağı,+90 535 206 74 49,info@milanogourmet.com.tr
Döner Plus,,,
ÇATÇAT Nişantaşı,Şakayık Sokak,+905522467181,
Birecikli,Tezgel,02126635563,
,Çiçekli Yalı Sokak,,
Adana Öz Asmalı Kebap,Bağdat Caddesi,,
,satis meydani sk. no:2,,
Dürümzade,,,
Köfteci Hüseyin,,,
Orj Bafra Pide,,,
Barış Büfe,Bağdat Caddesi,+90 216 358 41 02,
Şengül çiftliği kahvaltı et balık,Nehirboyu cad . no:5 AĞVA,02127217385,
Nusr-Et Burger Nisantasi,,,
Trattoria Serenzo,,,
Nusr-Et Burger Bebek,,,
HD İskender,,,
valide,,,
Saray Muhallebicisi,Hacı Mehmet Sokak,,
Nelipide,Bağdat Caddesi,,
Morkoç,Bağdat Caddesi,,
Köşebaşı,Bağdat Caddesi,,
Cookshop,Bağdat Caddesi,,
Mezze House,Yoğurtçubaşı Çıkmazı,,
Sırdaş Lokanta,Macar Kardeşler Caddesi,02125190519,
Al madina,,,
Altınkum,,,
Kenan Usta Ocakbasi,,,
Başak Pide,,,
Babos Börekçilik,,,
Çesme Bazlama Kahvalti,,,
MYTHOS,,,
Art,,,
Zencefil,,,
Uzunlar Kebap,Cem Sultan Cad.,,
Mahle Cafe & Restaurant,Patlayıcı Maddeler Yolu Cad.,,
Rumeli Kotok Köftecisi,,,
Beyranistan,Çengelköy Caddesi,,
Nişantaşi Mantıcısı,,,
Elbet,Yaren Sokak,,
Leb-i derya,Kumbaracı Ykş.,+90 5413668480,info@lebiderya.com
Raki & Balik Evi,Güneşli Bahçe Sokak,+90 216 450 15 64,
Marmaris,,,
N Yeriz,,,
Pidem,,,
Aboov,,,
,Yaren Sokak,,
Çağ Restaurant,,,
Anadolu Mangalbaşı,,,
Tepsi Cafe & Restoran,,,
Sultan Pide,,,
Otantik Anadolu Yemekleri,,,
Urfa Kebap,,,
Waffle House,,,
Ademoğlu Tandır Döner,,,
Gurme Sinop Mantı,,,
Köfteci Yusuf,,,
Dürümcü Doğan,,,
Gaziantep Sofrası 2,,,
Izgaracım Et Mangal,,,
Sinanın Yeri,,,
Selen Restaurant & Ocakbaşı,,,
Körfez Et & Izgara,,,
Gaziantep'li Deniz Kebap,,,
Mert Kebap,,,
Zübeyir Ocakbaşı,,,
Facyo,Gülistan Caddesi,02163826063,
Şişli Balıkçısı Pangaltı,,,
Adanalı Dürümcü,,,
Konaşlı Merkez Lokantası,,,
Zencefil,,,
Dostlar,,,
Dragon Restaurant,Cumhuriyet Caddesi,+90 212 231 6200,info@dragonrestaurant.com.tr
Dervish Barbeque,,,
Mevlana Etli Ekmek,,,
Uğur Yemek Dünyası,,,
Ten CR,Demokrasi Cad.,,
alkuds resturant,,,
Tariflerle Yemekler,,,
Tariflerle Yemekler,Fıstıklıköşk Sokağı,,
Mantı Time,,,
Karabiber Ev Yemekleri & Mantı,,,
Balaturka,,,
Çelebioğlu Çiftliği,,,
Brasserie Noir,Öncü Sokak,,
مطعم حضرموت,,,
Mert İşkembe,,,
Altındal İşkembe,,,
Balık Dünyası,,,
Antakya Kebap Asmalı,Asmalı Mescit Sokak,+902122921843,
Ozi Pizza and Pasta,,,
,Küçük Ayasofya Caddesi,,
İstek Börek,Yalnız Selvi Caddesi,+90 216 567 5600,
Erzurum Çağ Kebap,,,
Köşem Büfe,,,
Paşa Döner,,,
Tadım Börek,,,
Saray Muhallebicisi,,,
Köşebaşı,,,
Grill Polonez Restaurant ve Kasap,,,
Velibaba Kebap Lahmacun,,,
Ranchero Mexican Restaurant,Plaj Yolu Sokak,,
Aşana,,,
The House Cafe Akaretler,,,
Emirgan Sütiş,Şair Nedim Caddesi,,
Antakya Mutfağı & Meyhanesi,Şair Nedim Caddesi,,
Quppa Cafe,Şair Nedim Caddesi,,
Chez Moi,,,
Özkonak Lokantası,,,
Faruk Güllüoğlu,,,
Fırından Ekmek,,,
Cadde Kebap,,,
Casita,Bağdat Caddesi,,
Bafetto Caddebostan,,,
Kuytu Balık,,,
Dardenia,,,
Akın Balık,,,
Lumiere Cihangir,,,
La Fontana Di Trevi,,,
Çin Büfe,,,
Közde Cafe,,,
Usturmaca Balik Restorant,,+902128502010939,
Kaşıbeyaz,,,
İrem Et Lokantası,Akarsu Caddesi,,
Fümeci Steakhouse,Zaloğlu Sokak,,
İbrahim Kebap Et,Sütçüyolu Caddesi,,
Şaşkınbalık Restaurant,,,
Sarıyer Börekçisi,,,
Hükümdar Sofrası,Sütçü Yolu Caddesi,,
Sisko Dürüm,Eskibahçe Sokağı,,
المدينة,,,
Meat'ng Steakhouse,Zeytinoğlu Caddesi,,
Arsemia Çiğ Köfte,,,
ANTEBİM,,,
SORYE,,,
Hatay Kral Künefe,,,
Bülent Börek,,,
,ali fuat başgil,,
melisa,ali fuat başgil,,
Hasel Görele Pide,,+90 216 317 5610,
Antebim,,,
Sarıyer Balık Evi,,,
Reyvan Gurme,,,
Parga Balık,Küçükyalı Caddesi,,
Feriye,Çırağan Caddesi,0212 227 22 16,
İbb Florya Restoran,,,
Sarıyer Börekçisi,,,
Ekmekçi,,,
Yedigül Börek Pide,,,
01 Adana Kebapçısı,,,
Dilek Lokantası,,,
Sozeri Pide Guvec,,,
Özkanoğlu Kebap,,,
Kervan Karaköy,,,
Fasuli,,,
Midpoint,İstiklal Caddesi,,
mom' steak burger,,,
taj-mahal,,,
angen,,,
mien,,,
Hazzopulo,,,
chapelle restaurant and bar,,,
pera,,,
Simit Sarayi,,,
Al Madina restaurant,,,
beyoglu halk doner,,,
Galatalife Istanbul,,,
Chinese and Sushi experience,,,
Ozgur Kasap,,,
Arsemia Pide,,,
Erguvan Restoran,Gazi Caddesi,,
Pasa Doner,,,
Emin Baba Dürüm Evi,,,
Yıldız Konyalı,,,
Ortaklar Kanat & Dürüm Evi,,,
Kırkambarlar Lokantası,,,
Kasap Döner,,,
Huxo,,,
Midpoint,,,
Food Club,,,
Balik Noktasi,Galata Köprüsü,,
Pizza Hut,Ikitelli – OSB,,
Köfteci Yusuf,,,
Muhlama Karadeniz Mutfağı,Şerif Ali Caddesi,+90 216 2253253,
Huqqabaz,,,
Serafina,,,
Hünkar,,,
Polonez Brasserie,,,
Baran ET & Mangal,,,
Kaya Balık,,+902128816922,
Capri Ocakbaşı Restaurant,,,
Mavi Sofra,,,
Boşnak Börekçi,,,
Pizza Hut,,,
Osmanlı Lahmacun Pide,,,
Kaşıbeyaz,,,
Saruhan Kebap,,,
Yağcıoğlu Cafe & Restoran,,,
Big Mamma's,,,
Caddê İst'klal Döner,,,
Hazine Cihangir,Akarsu Yokuşu,,
Hacı Sayid,,,
Faruk Güllüoğlu,,,
OnurBalaban,Kaya Sultan Sokağı,+902164672368,info@onurbalaban.com
Kırımlı Çibörek,Büyük Saray Meydanı Caddesi,,
Sahan Kebap,Plaj Yolu Sokağı,,
Caddebostan Meyhanesi,Caddebostan Plajyolu Sok,,
Mahir Lokantası,Tavukçu Fethi Sk.,,
Agafya Meyhanesi,Alaybeyi Sokağı,,
Galaktion,Kumbaracı Yokuşu,+90 537 5737600,
Kroren Restaurant,,,
Tadında Anadolu,,,
Bodrum Mantı,,,
Ece Cafe & Restaurant,Şerif Ali Caddesi,,
Dönerci Ali Usta,,,
Hacı Sayid,,,
Rumeli Döner,,,
Raum,,,
1924 İstanbul,,+90 212 243 83 60,
Aida vino e Cucina,Ressam Şeref Akdik Sokak,,
Yakamoz Kanlica,,,
Köfteci İsmail,,,
Karakoy gumruk,,,
Gaziantep Sofrası Mahmut Usta,,02165950019,
Relax Mode Laleli,Koca Ragıp Paşa Caddesi,,
Tarihî Merkezefendi Köftecisi,,,
AKO Adapazarı Islama Köfte,,,
,Nüzhetiye Caddesi,,
Faik Pasha Design Suites -,Faik Paşa Caddesi,,
Kardeşim Kebap,Koşuyolu Caddesi,,
Cigerimiss Kahvaltı ve Ciğer,410.Sokak,0535 027 50 26,
Nevizade,,,
Ziya,,,
Sariyer Börekçisi,,,
Sultanahamet Köftecisi,,,
Çağri restaurant,,,
Kumkapı Hünkar,,,
Dürümle,,,
Sarıhan İşkembe,,,
Babel Cafe,,,
Galaktion (Georgian food),,,
Mitto Pizza,,,
Avşar Cafe,,,
Neolokal,,,
Güneşin Sofrası,Ali Suavi Sokağı,+902164585351,merhaba@gunesinsofrasi.com
Adıyaman Çiğ Köftecisi Emin Usta,,,
Keyff,,,
Beyoğlu Halk Döner,,,
Terrace 12,,,
Kebapçı İskender,,,
Abalı Tavuk Diyarı,,,
Gaziburma,Dr.Orhan Maltepe Caddesi,+90 216 354 2727,
Divan Brasserie,İstiklal Caddesi,,
Mesta,,,
Bdino Fish Wrap,,,
Tatbak,Yakacık Caddesi,,
Sarıyer Börekçisi,,,
Le-Pi,Serasker Caddesi,,
İkizler Tekirdağ Köftecisi,,,
Şatto Kebap,,,
Chefet,Şht. Kamil Balkan Cd.,+90 212 563 20 30,
Gospoda 1882,Seyri Caddesi,,
Tribeca,,,
Ali Ocakbaşı,,,
Olimpia,,,
Metin Usta 33 Mersin Tantuni,Şerif Ali Caddesi,,
Aspera restaurant,,,
salon Galata,,,
Ahhir Kapi Fish House,,,
Seyidoğlu,,,
Pizza Hut,,,
Heybet,,5921515,
Big Cook's,,,
Pizza Hut,,,
,Şeftali Sokak,,
,Bestekar Osman Sokak,,
,Camekan Sokağı,+905322756994,fandbculture@gmail.com
Marmarion,,,
Bostancı Fasıl,,,
Karadeniz,,02125268430,
Avokado Bar,Ahmet Fetgari Sokağı,,avokadobar.ist@gmail.com
Community kitchen,Kumbaracı Yokuşu,,
Hatay Ekol Künefe,,,
Balıkhane,,,
Hanımeli Mantı,,,
Nur'un Yeri,,,
Doktorun Yeri Köfte,,,
Filizler Köftecisi,,,
Yakamoz Balık,,,
Balıkçı Mustafa,,,
Hayat,,,
Sarıyer Börek,Ortanca Caddesi,,
Vitamin Ev Yemekleri,Vişne Sokak,,
Turgut Kebab Pide,,,
Yabaci,,,
Simitçi İbo,,+902163487221,
Tatgit Restaurant,,,
Byzantion Bistro & Restaurant,Yeşiltulumba Sokak,+905334329863,info@byzantionbistro.com
Bishop,Istasyon Caddesi,,
Baydöner,,,
Happy Moon's,,,
Saklı Köşk,,,
Kassab Köfte & Döner,Moda Caddesi,,
Pizza il forno,Moda Caddesi,,
Pizza Locale,,,
Meşhur Selanik Kuru Fasulyecisi,,,
Alpas Burger,,,
Dilo bar,,,
sotapi,,,
Saray Erzurum Cağ Kebabı,,,
Magic Akademi,,,
Köfteci Yusuf,,,
Konsept,,,
The hidden pub & restaurant,,,
Şerif Pub Cafe & Nargile,,,
Reyhun Iranian Restaurant,Yeni Çarşı Caddesi,0212251005,
sarıyer börekçisi,,,
Tarihi Mevlevihane Köftecisi,,,
akademi gurme,,,
bolacı kebap,,,
kiraz bahçe ev yemekleri,,,
my pidechi,,,
emir kebap,,,
Restoran,,,
Sampi Pide,,,
Avcı Et Lokantası,,,
İrem'in Mutfağı,,,
Eskibağ Restoran,,,
Dürümcü Sait Usta,Turgut Özal Bulvarı,+902127287900,
Behzadem Cafe Restaurant,Büyük Reşit Paşa Caddesi,,behzademrestaurant@gmail.com
Calipso,,,
Beyoğlu Çorbacısı,,,
,,(0212)2932258,
,Halaskargazi Caddesi,905439436010,
Fatih Belediyesi çatladikapi sosyal tesisi,,,
أطيب فلافل,,,
Umut Kebap,Üsküdar Caddesi,,
İnegöl Köfte Salonu Recep Usta'nın Yeri,,,
Danilo's Pizza,,,
Şefikoğulları Künefe,,,
Saki Balık,,,
Canım Ciğerim,,,
,,+90 216 450 5555,
Mercan Kokorec,,,
Kitchen 35,,,
Cihangir sosyal tesisleri,Kamacı Ustası Sokağı,+90 4441034,
Sosyal Tesisleri,,,
,Büyük Çamlıca Caddesi,,info@maverarestaurant.net
Sefa Restaurant,KISIKLI YOL SOKAK,+90 216 34463-69,
Haskral Hatay Sofrasi,,,
Banyan,,,
Haskral Hatay Sofrasi,,,
Elde borek,,,
Balkan Lokantası,,,
Mehmetçik Vakfı Tesisleri,,,
Hatay Gurme,,,
,Kutlugün Sokak,+902125164401,
Bridge Restaurant,Baba Nekkas Cad.,,
Özsüt,,,
Green Salad,,,
Qua,,,
The Doors Bistro,,,
Hüner Ev Yemekleri,,,
Bizim Lokanta,,,
Nur Abla,,,
Gurbet Ciğer,,,
Altürk Çiğköfte,,,
Karaköy Çorba Evi,Mumhane Caddesi,,
Balıkçınız Şafak,,,
Papalina balik,,,
Etovasi,,,
Küçük Çamlıca Köşkü,,,
Kudo,Yorum Sokak,,
Misina,Prof. Dr. Hulusi Behçet Caddesi,+90 216 350 00 90,
Mykonos Balık,,,
مطعم أسعد زنون,,,
Tickerdaze,,,
YO! Sushi,,,
Brewmark,,,
Hacıoğlu,,,
Saray,,,
Düzdereler Et Lokantası,,,
Bayrampaşa Belediyesi Fatih Parkı Sosyal Tesisleri,,,
Lue karaköy,,,
Karlıtepe Kule Restaurant,,,
Balık Lokantası,,,
Asiri Karadeniz Pide Lahmacun,,02122325082,
Beylerbeyi Iskele Restaurant,Iskele Cadesi,,
Mahkeme lokantasi,,,
ресторан рыбны на улице на набережной,,,
Galata Kitchen,,,
Parantez Karaköy,,,
Paşa Köfte Karaköy,,,
Tahin,,,
Rita Moda,,,
13 Döner,,,
Temiz,,,
Cihangir Ulaş Balıkçılık,Türkgücü Caddesi,,
Yalıköy Taşfırın,,,
Pak Pide,,02125137664,
Yeşil Orman Kahvaltı Cafe,,,
Alem,,,
Elle'ye Kebap,,,
Köfteci Ramiz,,,
Beykoz Paça İşkembe ve Kokoreç,,,
Kardeşler Lokantası,,,
Beykoz Sosyal Tesisleri,,,
Saray Muhallebicisi,,02129992840,saray@saraymuhallebicisi.com
Saray Muhallebicisi,Ataköy 1. Kısım,02129992868,saray@saraymuhallebicisi.com
Saray Muhallebicisi,Halk Caddesi,02129992898,saray@saraymuhallebicisi.com
Saklı Bahçe,,+905306074904,
Çağla Aile Çay Bahçesi,,,
Çiçek Et Lokantası,,,
Borsa Restaurant - Annemin Malikanesi Et ve Kahvaltı,,,
Çiğköfteci Sait,,,
Sahan,Kardelen Sokağı,,
Müptela Kahvaltı Brunch,Lale Sokağı,,
Mirar Sinan,,,
Kuru Fasulyeci Süleyman,,,
Beydagi,,,
CoffeeBoss Istanbul,Tugay Yolu Caddesi,,coffeebossistanbul@gmail.com
Gümüşpınar köftecisi,,,
Büyükçekmece Kanatçısı,,,
Terbiyeli Çorba Et Köfte,,,
Anıl Börek,,,
Asur Hotel,Ibn-I-Kemal Caddesi,,
Hanzade Terrace Restaurant,Piyer Loti Caddesi,+902125188081,
Acıktım,,,
Kasap & Izgara,,,
Katık,,,
Anıl Börek,,,
Biget,,,
Güney İşkembe & Pide,,,
Zigana Akçaabat Köfte,,,
Huqqabaz,,,
Manyak,,,
Balıkçım,,,
Buket Pide,,,
Fasuli Lokantaları,,,
Meşhur Börekçi Ertuğrul Usta,,,
Dirona Akçaabat Köfte,,,
Aslı Express,,,
İnciraltı Ev Yemekleri,,,
Selviler İşkembe,,,
B.Ç. İskender Kebapçısı,,,
Saray Ciğercisi,,,
Anteplioğlu Tatlı & Baklava,,,
Meşhur Sarıyer Börekçisi,,,
Arifoğlu Cafe & Restaurant,,,
Divana Döner Kebap,,,
Tarihi Kastamonu Börekçisi,,,
Hacı Sayid,,,
Sıla Börek,,,
Faruk Güllüoğlu,,,
Ziyade Et Lokantası,,,
Emirgan Sütiş,,,
Pehlivan,,,
Semazen Cafe,,,
Ercan Burger,,,
Köfteci Ramiz,,,
Bereket Döner,,,
Esmer Chef Fish House,,,
Esmer Chef,,,
Fenerbahçe İşkembe Salonu,,,
Kızıltoprak Dürümcüsü,Şehir Kahya Sokağı,,
Miss Balık Restaurant,Atatürk Caddesi,,
Köfteci,,,
Çimen,,,
varuna gezgin,,,
Burcu Börek,,,
Meşhur Kemer Börekçisi,,,
Cadde Döner,Süleyman Demirel Caddesi,+90 672 15 14,
Emirhan İskender & Kebap Dünyası,Süleyman Demirel Caddesi,+90 672 46 59,
Çınarlı Bahçe,Süleyman Demirel Caddesi,,
Qubba,Süleyman Demirel Caddesi,,
Nicole,Tom Tom Kaptan Sokak,,
URFALİMSAVAKUSTA,Sofular Caddesi,,
Bi Nevi Deli,Dilhayat Sokak,,
Divella Bistro Restaurant,Adliye Sokak,+90 507 237 59 26,habib.aktan@gmail.com
Marmara Et,,,
Cooking House,,,
Dayı,,,
ONx Cafe,,,
Big & Big,,,
Balıkçımız Hasan,,,
İz Restaurant,,,
Tatpita Boşnak Böreği,,,
Nusret,İstinye Park,,
Lezzet-i Sark,,,
Marmaris Expres,3004. Cadde,+90 505 047 34 60,
Mangerie Bebek,Cevdetpaşa Caddesi,,
Park Balık Çekmeköy,Şehit Ünal Kalafat Caddesi,+90 0216 594 12 01,
Esenköşk,,,
Gardaş Cağ Kebap,Işıklar Caddesi,,
Adana Birbiçer Ciğer Kebap,,,
Kebabistanbul,,,
Döner & Ağacı,,,
Vanilya,,,
Brasserie Florence,,,
Beyzade Künefe,Vardar Bulvarı,(0212) 261 67 67,
Mavi Mey-hane,Ulusum Cd.,0530 869 44 32,
Pizza Lazza,Kurbağalıdere Caddesi,,
HD İskender,,,
Tavuk Dünyası,,,
Kayseri Mutfağı,,,
Pidem,,,
Günaydın Köfte & Döner,,,
HD Döner,,,
Kardeşler Lokantası,,,
Genç Osman Lokantası,,,
Tanrıdağ Uygur Restaurant,Turgut Özal Millet Caddesi,(0212) 631 17 68,
Cafe Berry,,,
Karadeniz Pide Vefa,Muabbir Sokak,,
Kudus,,,
Saray Lokantası,,,
Tarihi Cemberlitas Muhallebicisi,,,
Kargümüş Park Lokantası,,,
Köfte Piyaz,,,
Oba Restaurant,Tiyatro Caddesi,,
Mangalbaşı,,,
Uludağ Kebapçısı,,,
Zhû İstanbul,hacı emin efendi sokak,+905331404510,
Jumba Künefe & Katmer,,,
Köşebaşı Kafe Börek,,,
Mualla,,,
Çıtır Usta Pideci,,,
Güneş Restaurant,,,
Ömer Baba'nın Yeri İrem Balıkçılık,,,
Balıkçı Abla,,,
Babacan Balık Restaurant,,,
Yıldız Balık & Et Restaurant,,,
İkinci Bahar Rizeliler Derneği,,,
Alaçatı Muhallebicisi,,,
Ataköy Garden,,,
OKYANUS,,,
Nefes,,,
Kıraça Balık Lokantası,,,
Poyraz Balık,,,
Saray Güveç,,,
Bakırköy Döner,,,
Acıbadem Sahra Kebap Ve Dürüm Evi,Acıbadem Caddesi,,
Tahtasaray,Meşeli Sokağı,+902122838585,
مطعم المدينه,,,
Et-Inn Kebap&Steak,Uçar Sokağı,0216 301 29 29,
Fiko Ocakbaşı,Köybaşı Caddesi,0212 223 28 58,
Azur,Köybaşı Caddesi,0212 299 97 98,
Emek Mantı Evi,Köybaşı Caddesi,0212 262 69 81,
Tiryaki Restorant,Köybaşı Caddesi,0212 223 53 44,
Sandal Balık,Köybaşı Caddesi,0212 262 04 05,
Fish Var,İstinye Caddesi,0212 277 25 82,
Yeniköy Lokantası,Köybaşı Caddesi,+90 (212) 262 62,
Arnavutköy Balıkçısı,Köybaşı Caddesi,+90 (212) 262 70 90,
Takanik Balık Park,Köybaşı Caddesi,0212 299 56 56,
Yeniköy Kavak Balıkçısı,Köybaşı Caddesi,+90 (212) 223 67 01,
Köfteci halil Rumelihisarı,Arpacı Çeşme Sokağı,0212 358 55 31,
Kiss The Frog Seafood Brasserie,Yahya Kemal Caddesi,0212 287 73 20,
Köprüaltı,Yahya Kemal Caddesi,+90 212 287 7323,
Rumeli Balıkçısı,Yahya Kemal Caddesi,0212 287 06 97,
Nezih Kebap-Yuvalama,Yahya Kemal Caddesi,0212 265 74 55,
Bodrum Mantı & Cafe Şaşkınbakkal,Bağdat Caddesi,(0216) 408 10 98,
Bebek Balıkçı,Cevdetpaşa Caddesi,0212 263 34 47,
Bebek Köftecisi,Bebek Hamamı Sokağı,0212 264 40 18,
Jeni Falafel & Rolls,,,
Akıntı Burnu Balık Restaurant,Bebek Arnavutköy Caddesi,0212 263 48 29,
Whisper Kitchen Bar,Bebek Arnavutköy Caddesi,0212 263 10 45,
Curtis Restaurant&Bar,Bebek Arnavutköy Caddesi,0542 302 05 05,
Revma Balık,Bebek Arnavutköy Caddesi,0212 263 50 60,
Şanda Tiryaki Ocakbaşı Restaurant,Yeşilpınar Sokağı,0212 265 13 90,info@sandatiryaki.net
Kuruçeşme AYBALIK,Arnavutköy Kuruçeşme Caddesi,0532 364 19 26,
Mavi Balık,Muallim Naci Caddesi,+90 212 265 5480,info@mavibalik.com
Ringa Sea Food,Muallim Naci Caddesi,0532 066 03 03,info@ringaseafood.com
Servet İskender,,,
Bizim Mutfak Pendik Ev yemekleri,Vişne Sokağı,,
Noodle House,Dershane Sokağı,0212 234 90 10,
Saray Restorantı,,,
Yeşilim Lahmacun kebap,Ortanca Caddesi,,
Çekmeköy Yeditepe Sosyal Tesisleri,,,
ramiz köfte,,,
etiler marmaris büfe,,,
Sushico,,444 7 874,
Kallavi Et Kebap,Osmanlı Bulvarı,,
Chinese@Sushi Express,,,
Yörem İskender Kebapçısı,Tiryaki Sokağı,,
Enbey Döner,Mareşal Caddesi,,
Örnek Börek,Mareşal Caddesi,,
Eti Beyaz,Metrobüs,0212 423 44 11,
Can Baba Börek,Mareşal Caddesi,,
Baba Döner,Mareşal Caddesi,,
Yeşilırmak Et Sofrası,Uran Caddesi,(0212) 509 76 07,
Adanalı,,,
Memnun Döner,Duygu Sokağı,+90 212 421 3131,
Titiz İskender Kebap,,,
Urfa Suruç Ocakbaşı,Mareşal Caddesi,,
Örnek Börek,Mareşal Caddesi,,
Çağdaş Börek,,,
Happy Art,,,
Meşhur Sarıyer Börekçisi,,,
Alaçatı Muhallebicisi,,,
Dr. Waffles,,,
Faruk Güllüoğlu,Sıraselviler Caddesi,,
Nevince Ev Yemekleri,,,
Fatih Börekçisi,,,
İzol Börek,,,
Günaydın,,,
Kalyoncu Yemek Diyarı,,,
Özlem Lokantası,,,
Bizim Mutfak,,,
Öz Lezzet Börek,,,
Hacıefendi Döner Köfte,,,
Özdamak Pide Kebap Lahmacun,,,
Burçak Döner,,,
Elek,,,
Gürbüzler,,,
Gala Kokoreç,,,
Big Mamma's,,,
Nelipide Gurme,,,
Şato İstanbul,,,
Ihlamur Cafe & Restaurant,,,
Kültür Cafe,,,
Rakofoli,Kürekçiler Kapısı Sokağı,+90 212 249 23 04,
Loop Food,,,
Ali Bey Cafe Restaurant,,,
Adana Kebapçısı Murat Usta,,,
Ercan Burger,,,
Salih Country,Kilyos Caddesi,,
Gökdoğan Garden Restoran,,,
Orkoz,,,
Mecitin Antakya Mutfağı,Şemsettin Günaltay Caddesi,,
Erenköy Sarıyer Börekçisi,,,
İrfan Usta Lahmacun,,,
Öz Gaziantep Kebapçısı,,,
İnci Balık,,,
Damak Dürüm,,,
Şölen Çorba,,,
Sarıyer Börekçisi,,,
Bülent Börekçilik,,,
Bolu1 Köy Kahvaltısı,,,
Yeşil Çiftlik,,,
Huzur Bahçe Restaurant Mangal Başı,Kilyos Caddesi,,
Köfteci Yusuf,,,
Köşk Pide Lahmacun,,,
Mersinli Ciğerci Ahmet Usta,,,
Dönerci Hamdi Usta,,,
Haydenn Sürmene Pidecisi,,,
Hacıoğlu,,,
Pizza Hut,,,
MOMO Bebeköy,,,
Backyard,Bebeköy Sokağı,,
Akveren Makarna,,,
Ciğerci Hulusi,,,
Destan Halk Lokantası,,,
Hacıoğlu,,,
Kadıköy Merkez Börekçisi,,,
NFC Pide & Börek,,,
Nazife Hanımın Ev Yemekleri,,,
Poyraz Sahil Balık Restaurant,Mendirek Yolu,,
Poyraz Sahil Balık Restaurant,Mendirek Yolu,,
Poyraz Sahil Balık Restaurant,Mendirek Yolu,,
Zerina,,,
Balikçi  Süleyman,,,
Big Chefs,,,
SARIKAYA KEBAP (KEBAPCI),Büyük Hendek Caddesi,,
Ono Restaurant,Adnan Menderes Bulvarı,+905447709000,
BL,,,
Yücel Et Mangal,,,
Duru Et Izgara,Yalı Sokağı,+90 216 451 88 32,
Sarı Taç,,,
Son Çare Büfe,,,
Three partners cafe & restaurant,,,
Bitlisli,,,
Saltanat fish & kebab house,,,
Can Can Tantuni & Künefe,,,
Köfteci Yusuf,Eski Edirne Asfaltı,444 61 62,
Damak Pide & Güveç Salonu,Ali Galip Bey Caddesi,,
Adnan Sarıhan gusto,Nispetiye Caddesi,02123584848,
Siva cafe restaurant,,,
Wama's,İstiklal Caddesi,,
Çöp şiş,,,
Ev yemekleri,,,
Etli Ekmek Pide Lahmacum,,,
Dayı,,,
Tarçın Restaurant,,,
Gaziantepli Bozkaya Baklavaları,,,
Zadegân Pasta,,,
Şaşkın Et Mangal,,,
cağ kebabı,,,
Sarıyer Börekçisi,,,
Doğa'l,,,
Mesire,,,
Betül Ev yemekleri,,,
,İstiklal Caddesi,+902122431005,
Rakun,,,
Elif's Mantı,,,
ADA Pide,,,
Burger Sausage,,,
Köfte Soyaslan Sucuk,,,
Izgaradan,,,
Türkçe Meze teras,,,
,Kamer Hatun Caddesi,,
China Stix & Sushi,,,
Sushiwind,,,
,Sahne Sokağı,+905462608564,
Nadide,,,
Köşebaşı Balık,,,
Malikâne No.15,,,
Çorba İstanbul Et Mangal,,,
Nokta Balık,,,
Özlem Taşfırın,,,
Küçükbakkalköy Pidecisi,,,
Dağlayan Börek & Pide,,,
Öz Lezzet Meşhur Börek & Pide,,,
Dedecan Ocakbaşı,,,
Mert Yemek,,+902163804581,
Jumbo Künefe,,,
Melekler Ocakbaśi,,,
Beluga,,,
Brio İtalian İstanbul,Kilyos Caddesi,+90 212 202 69 69,
Barba Yani,,,
Otantik,,,
Hacıbaşar Kebap,,,
Taner Börek,,,
Tarihi Kadıköy Dönercisi,,,
Konoha Susi,,,
Crumble Mantı Evi,,,
Erdal Şef,,,
Oliva Cafe Restaurant,,,
Bafra Karafırın,,02122627306,
Arka Bahce,Karakolhane Caddesi,,
TaşFırın,Ziya Paşa Caddesi,,
Emirzade,,,
Arsemia,,,
Bombay Masala Indian Restaurant,,,
Corvino,,,
Görele Yemek Salonu,,,
Antik Köy 2,,,
Peçka Et & Mangal Kahvaltı,,0533 195 94 77,
Antik Köy,Doktor Çeşme Caddesi,(0212) 789 61 24,
Tarihi Çınaraltı Piknik Alanı & Restaurant,Doktor Çeşme Caddesi,0544 320 51 56,
Ataköy Pizza Hut,,,
Cundalı Bahçe Ataköy,,,
Saraykapı,,,
Dürüm Kitchen,,,
Maşa Gaziantep Mutfağı,,,
Emsal Peynircimm,,,
Osmanlı Börek,,,
Sarıhan Gusto,,,
Gaziantep Kalealtı Lokantası,,,
Pizza Hut,,,
rifi restaurant,,,
Damla Pide,,+90 216 3482745,
Coşkun sucuk,,,
One Steak House,,,
Sushi days,,,
Karacalı Türk,,,
Olimpiyat Restaurant,,,
Odessa Restaurant,,,
Afrodit Restaurant,,,
Mare Karaköy,,,
Tike Restoran Ataşehir,,,
,Hüdavendigar Caddesi,+90 212 520 19 63,
Baba Sultanın Yeri,,,
